instant,dteday,season,yr,mnth,holiday,weekday,workday,weathersit,tempC,tempF,atemp,hum,windspd,casual,reg,cnt,runsum
23,2011-01-23,Winter,0,1,0,0,0,1,0.0965217,40.16573582,0.0988391,0.436522,0.2466,150,836,986,28989
24,2011-01-24,Winter,0,1,0,1,1,1,0.0973913,40.23930398,0.11793,0.491739,0.15833,86,1330,1416,30405
25,2011-01-25,Winter,0,1,0,2,1,2,0.223478,50.9062388,0.234526,0.616957,0.129796,186,1799,1985,32390
26,2011-01-26,Winter,0,1,0,3,1,3,0.2175,50.4005,0.2036,0.8625,0.29385,34,472,506,32896
27,2011-01-27,Winter,0,1,0,4,1,1,0.195,48.497,0.2197,0.6875,0.113837,15,416,431,33327
28,2011-01-28,Winter,0,1,0,5,1,2,0.203478,49.2142388,0.223317,0.793043,0.1233,38,1129,1167,34494
29,2011-01-29,Winter,0,1,0,6,0,1,0.196522,48.6257612,0.212126,0.651739,0.145365,123,975,1098,35592
30,2011-01-30,Winter,0,1,0,0,0,1,0.216522,50.3177612,0.250322,0.722174,0.0739826,140,956,1096,36688
31,2011-01-31,Winter,0,1,0,1,1,2,0.180833,47.2984718,0.18625,0.60375,0.187192,42,1459,1501,38189
32,2011-02-01,Winter,0,2,0,2,1,2,0.192174,48.2579204,0.23453,0.829565,0.053213,47,1313,1360,39549
33,2011-02-02,Winter,0,2,0,3,1,2,0.26,53.996,0.254417,0.775417,0.264308,72,1454,1526,41075
34,2011-02-03,Winter,0,2,0,4,1,1,0.186957,47.8165622,0.177878,0.437826,0.277752,61,1489,1550,42625
35,2011-02-04,Winter,0,2,0,5,1,2,0.211304,49.8763184,0.228587,0.585217,0.127839,88,1620,1708,44333
36,2011-02-05,Winter,0,2,0,6,0,2,0.233333,51.7399718,0.243058,0.929167,0.161079,100,905,1005,45338
37,2011-02-06,Winter,0,2,0,0,0,1,0.285833,56.1814718,0.291671,0.568333,0.1418,354,1269,1623,46961
38,2011-02-07,Winter,0,2,0,1,1,1,0.271667,54.9830282,0.303658,0.738333,0.0454083,120,1592,1712,48673
39,2011-02-08,Winter,0,2,0,2,1,1,0.220833,50.6824718,0.198246,0.537917,0.36195,64,1466,1530,50203
40,2011-02-09,Winter,0,2,0,3,1,2,0.134783,43.4026418,0.144283,0.494783,0.188839,53,1552,1605,51808
41,2011-02-10,Winter,0,2,0,4,1,1,0.144348,44.2118408,0.149548,0.437391,0.221935,47,1491,1538,53346
42,2011-02-11,Winter,0,2,0,5,1,1,0.189091,47.9970986,0.213509,0.506364,0.10855,149,1597,1746,55092
43,2011-02-12,Winter,0,2,0,6,0,1,0.2225,50.8235,0.232954,0.544167,0.203367,288,1184,1472,56564
44,2011-02-13,Winter,0,2,0,0,0,1,0.316522,58.7777612,0.324113,0.457391,0.260883,397,1192,1589,58153
45,2011-02-14,Winter,0,2,0,1,1,1,0.415,67.109,0.39835,0.375833,0.417908,208,1705,1913,60066
46,2011-02-15,Winter,0,2,0,2,1,1,0.266087,54.5109602,0.254274,0.314348,0.291374,140,1675,1815,61881
47,2011-02-16,Winter,0,2,0,3,1,1,0.318261,58.9248806,0.3162,0.423478,0.251791,218,1897,2115,63996
48,2011-02-17,Winter,0,2,0,4,1,1,0.435833,68.8714718,0.428658,0.505,0.230104,259,2216,2475,66471
49,2011-02-18,Winter,0,2,0,5,1,1,0.521667,76.1330282,0.511983,0.516667,0.264925,579,2348,2927,69398
50,2011-02-19,Winter,0,2,0,6,0,1,0.399167,65.7695282,0.391404,0.187917,0.507463,532,1103,1635,71033
51,2011-02-20,Winter,0,2,0,0,0,1,0.285217,56.1293582,0.27733,0.407826,0.223235,639,1173,1812,72845
52,2011-02-21,Winter,0,2,1,1,0,2,0.303333,57.6619718,0.284075,0.605,0.307846,195,912,1107,73952
53,2011-02-22,Winter,0,2,0,2,1,1,0.182222,47.4159812,0.186033,0.577778,0.195683,74,1376,1450,75402
54,2011-02-23,Winter,0,2,0,3,1,1,0.221739,50.7591194,0.245717,0.423043,0.094113,139,1778,1917,77319
55,2011-02-24,Winter,0,2,0,4,1,2,0.295652,57.0121592,0.289191,0.697391,0.250496,100,1707,1807,79126
56,2011-02-25,Winter,0,2,0,5,1,2,0.364348,62.8238408,0.350461,0.712174,0.346539,120,1341,1461,80587
57,2011-02-26,Winter,0,2,0,6,0,1,0.2825,55.8995,0.282192,0.537917,0.186571,424,1545,1969,82556
58,2011-02-27,Winter,0,2,0,0,0,1,0.343478,61.0582388,0.351109,0.68,0.125248,694,1708,2402,84958
59,2011-02-28,Winter,0,2,0,1,1,2,0.407273,66.4552958,0.400118,0.876364,0.289686,81,1365,1446,86404
60,2011-03-01,Winter,0,3,0,2,1,1,0.266667,54.5600282,0.263879,0.535,0.216425,137,1714,1851,88255
61,2011-03-02,Winter,0,3,0,3,1,1,0.335,60.341,0.320071,0.449583,0.307833,231,1903,2134,90389
62,2011-03-03,Winter,0,3,0,4,1,1,0.198333,48.7789718,0.200133,0.318333,0.225754,123,1562,1685,92074
63,2011-03-04,Winter,0,3,0,5,1,2,0.261667,54.1370282,0.255679,0.610417,0.203346,214,1730,1944,94018
64,2011-03-05,Winter,0,3,0,6,0,2,0.384167,64.5005282,0.378779,0.789167,0.251871,640,1437,2077,96095
65,2011-03-06,Winter,0,3,0,0,0,2,0.376522,63.8537612,0.366252,0.948261,0.343287,114,491,605,96700
66,2011-03-07,Winter,0,3,0,1,1,1,0.261739,54.1431194,0.238461,0.551304,0.341352,244,1628,1872,98572
67,2011-03-08,Winter,0,3,0,2,1,1,0.2925,56.7455,0.3024,0.420833,0.12065,316,1817,2133,100705
68,2011-03-09,Winter,0,3,0,3,1,2,0.295833,57.0274718,0.286608,0.775417,0.22015,191,1700,1891,102596
69,2011-03-10,Winter,0,3,0,4,1,3,0.389091,64.9170986,0.385668,0,0.261877,46,577,623,103219
70,2011-03-11,Winter,0,3,0,5,1,2,0.316522,58.7777612,0.305,0.649565,0.23297,247,1730,1977,105196
71,2011-03-12,Winter,0,3,0,6,0,1,0.329167,59.8475282,0.32575,0.594583,0.220775,724,1408,2132,107328
72,2011-03-13,Winter,0,3,0,0,0,1,0.384348,64.5158408,0.380091,0.527391,0.270604,982,1435,2417,109745
73,2011-03-14,Winter,0,3,0,1,1,1,0.325217,59.5133582,0.332,0.496957,0.136926,359,1687,2046,111791
74,2011-03-15,Winter,0,3,0,2,1,2,0.317391,58.8512786,0.318178,0.655652,0.184309,289,1767,2056,113847
75,2011-03-16,Winter,0,3,0,3,1,2,0.365217,62.8973582,0.36693,0.776522,0.203117,321,1871,2192,116039
76,2011-03-17,Winter,0,3,0,4,1,1,0.415,67.109,0.410333,0.602917,0.209579,424,2320,2744,118783
77,2011-03-18,Winter,0,3,0,5,1,1,0.54,77.684,0.527009,0.525217,0.231017,884,2355,3239,122022
78,2011-03-19,Winter,0,3,0,6,0,1,0.4725,71.9735,0.466525,0.379167,0.368167,1424,1693,3117,125139
79,2011-03-20,Winter,0,3,0,0,0,1,0.3325,60.1295,0.32575,0.47375,0.207721,1047,1424,2471,127610
80,2011-03-21,Spring,0,3,0,1,1,2,0.430435,68.414801,0.409735,0.737391,0.288783,401,1676,2077,129687
81,2011-03-22,Spring,0,3,0,2,1,1,0.441667,69.3650282,0.440642,0.624583,0.22575,460,2243,2703,132390
82,2011-03-23,Spring,0,3,0,3,1,2,0.346957,61.3525622,0.337939,0.839565,0.234261,203,1918,2121,134511
83,2011-03-24,Spring,0,3,0,4,1,2,0.285,56.111,0.270833,0.805833,0.243787,166,1699,1865,136376
84,2011-03-25,Spring,0,3,0,5,1,1,0.264167,54.3485282,0.256312,0.495,0.230725,300,1910,2210,138586
85,2011-03-26,Spring,0,3,0,6,0,1,0.265833,54.4894718,0.257571,0.394167,0.209571,981,1515,2496,141082
86,2011-03-27,Spring,0,3,0,0,0,2,0.253043,53.4074378,0.250339,0.493913,0.1843,472,1221,1693,142775
87,2011-03-28,Spring,0,3,0,1,1,1,0.264348,54.3638408,0.257574,0.302174,0.212204,222,1806,2028,144803
88,2011-03-29,Spring,0,3,0,2,1,1,0.3025,57.5915,0.292908,0.314167,0.226996,317,2108,2425,147228
89,2011-03-30,Spring,0,3,0,3,1,2,0.3,57.38,0.29735,0.646667,0.172888,168,1368,1536,148764
90,2011-03-31,Spring,0,3,0,4,1,3,0.268333,54.7009718,0.257575,0.918333,0.217646,179,1506,1685,150449
91,2011-04-01,Spring,0,4,0,5,1,2,0.3,57.38,0.283454,0.68625,0.258708,307,1920,2227,152676
92,2011-04-02,Spring,0,4,0,6,0,2,0.315,58.649,0.315637,0.65375,0.197146,898,1354,2252,154928
93,2011-04-03,Spring,0,4,0,0,0,1,0.378333,64.0069718,0.378767,0.48,0.182213,1651,1598,3249,158177
94,2011-04-04,Spring,0,4,0,1,1,1,0.573333,80.5039718,0.542929,0.42625,0.385571,734,2381,3115,161292
95,2011-04-05,Spring,0,4,0,2,1,2,0.414167,67.0385282,0.39835,0.642083,0.388067,167,1628,1795,163087
96,2011-04-06,Spring,0,4,0,3,1,1,0.390833,65.0644718,0.387608,0.470833,0.263063,413,2395,2808,165895
97,2011-04-07,Spring,0,4,0,4,1,1,0.4375,69.0125,0.433696,0.602917,0.162312,571,2570,3141,169036
98,2011-04-08,Spring,0,4,0,5,1,2,0.335833,60.4114718,0.324479,0.83625,0.226992,172,1299,1471,170507
99,2011-04-09,Spring,0,4,0,6,0,2,0.3425,60.9755,0.341529,0.8775,0.133083,879,1576,2455,172962
100,2011-04-10,Spring,0,4,0,0,0,2,0.426667,68.0960282,0.426737,0.8575,0.146767,1188,1707,2895,175857
101,2011-04-11,Spring,0,4,0,1,1,2,0.595652,82.3921592,0.565217,0.716956,0.324474,855,2493,3348,179205
102,2011-04-12,Spring,0,4,0,2,1,2,0.5025,74.5115,0.493054,0.739167,0.274879,257,1777,2034,181239
103,2011-04-13,Spring,0,4,0,3,1,2,0.4125,66.8975,0.417283,0.819167,0.250617,209,1953,2162,183401
104,2011-04-14,Spring,0,4,0,4,1,1,0.4675,71.5505,0.462742,0.540417,0.1107,529,2738,3267,186668
105,2011-04-15,Spring,0,4,1,5,0,1,0.446667,69.7880282,0.441913,0.67125,0.226375,642,2484,3126,189794
106,2011-04-16,Spring,0,4,0,6,0,3,0.430833,68.4484718,0.425492,0.888333,0.340808,121,674,795,190589
107,2011-04-17,Spring,0,4,0,0,0,1,0.456667,70.6340282,0.445696,0.479583,0.303496,1558,2186,3744,194333
108,2011-04-18,Spring,0,4,0,1,1,1,0.5125,75.3575,0.503146,0.5425,0.163567,669,2760,3429,197762
109,2011-04-19,Spring,0,4,0,2,1,2,0.505833,74.7934718,0.489258,0.665833,0.157971,409,2795,3204,200966
110,2011-04-20,Spring,0,4,0,3,1,1,0.595,82.337,0.564392,0.614167,0.241925,613,3331,3944,204910
111,2011-04-21,Spring,0,4,0,4,1,1,0.459167,70.8455282,0.453892,0.407083,0.325258,745,3444,4189,209099
112,2011-04-22,Spring,0,4,0,5,1,2,0.336667,60.4820282,0.321954,0.729583,0.219521,177,1506,1683,210782
113,2011-04-23,Spring,0,4,0,6,0,2,0.46,70.916,0.450121,0.887917,0.230725,1462,2574,4036,214818
114,2011-04-24,Spring,0,4,0,0,0,2,0.581667,81.2090282,0.551763,0.810833,0.192175,1710,2481,4191,219009
115,2011-04-25,Spring,0,4,0,1,1,1,0.606667,83.3240282,0.5745,0.776667,0.185333,773,3300,4073,223082
116,2011-04-26,Spring,0,4,0,2,1,1,0.631667,85.4390282,0.594083,0.729167,0.3265,678,3722,4400,227482
117,2011-04-27,Spring,0,4,0,3,1,2,0.62,84.452,0.575142,0.835417,0.3122,547,3325,3872,231354
118,2011-04-28,Spring,0,4,0,4,1,2,0.6175,84.2405,0.578929,0.700833,0.320908,569,3489,4058,235412
119,2011-04-29,Spring,0,4,0,5,1,1,0.51,75.146,0.497463,0.457083,0.240063,878,3717,4595,240007
120,2011-04-30,Spring,0,4,0,6,0,1,0.4725,71.9735,0.464021,0.503333,0.235075,1965,3347,5312,245319
121,2011-05-01,Spring,0,5,0,0,0,2,0.451667,70.2110282,0.448204,0.762083,0.106354,1138,2213,3351,248670
122,2011-05-02,Spring,0,5,0,1,1,2,0.549167,78.4595282,0.532833,0.73,0.183454,847,3554,4401,253071
123,2011-05-03,Spring,0,5,0,2,1,2,0.616667,84.1700282,0.582079,0.697083,0.342667,603,3848,4451,257522
124,2011-05-04,Spring,0,5,0,3,1,2,0.414167,67.0385282,0.40465,0.737083,0.328996,255,2378,2633,260155
125,2011-05-05,Spring,0,5,0,4,1,1,0.459167,70.8455282,0.441917,0.444167,0.295392,614,3819,4433,264588
126,2011-05-06,Spring,0,5,0,5,1,1,0.479167,72.5375282,0.474117,0.59,0.228246,894,3714,4608,269196
127,2011-05-07,Spring,0,5,0,6,0,1,0.52,75.992,0.512621,0.54125,0.16045,1612,3102,4714,273910
128,2011-05-08,Spring,0,5,0,0,0,1,0.528333,76.6969718,0.518933,0.631667,0.0746375,1401,2932,4333,278243
129,2011-05-09,Spring,0,5,0,1,1,1,0.5325,77.0495,0.525246,0.58875,0.176,664,3698,4362,282605
130,2011-05-10,Spring,0,5,0,2,1,1,0.5325,77.0495,0.522721,0.489167,0.115671,694,4109,4803,287408
131,2011-05-11,Spring,0,5,0,3,1,1,0.5425,77.8955,0.5284,0.632917,0.120642,550,3632,4182,291590
132,2011-05-12,Spring,0,5,0,4,1,1,0.535,77.261,0.523363,0.7475,0.189667,695,4169,4864,296454
133,2011-05-13,Spring,0,5,0,5,1,2,0.5125,75.3575,0.4943,0.863333,0.179725,692,3413,4105,300559
134,2011-05-14,Spring,0,5,0,6,0,2,0.520833,76.0624718,0.500629,0.9225,0.13495,902,2507,3409,303968
135,2011-05-15,Spring,0,5,0,0,0,2,0.5625,79.5875,0.536,0.867083,0.152979,1582,2971,4553,308521
136,2011-05-16,Spring,0,5,0,1,1,1,0.5775,80.8565,0.550512,0.787917,0.126871,773,3185,3958,312479
137,2011-05-17,Spring,0,5,0,2,1,2,0.561667,79.5170282,0.538529,0.837917,0.277354,678,3445,4123,316602
138,2011-05-18,Spring,0,5,0,3,1,2,0.55,78.53,0.527158,0.87,0.201492,536,3319,3855,320457
139,2011-05-19,Spring,0,5,0,4,1,2,0.530833,76.9084718,0.510742,0.829583,0.108213,735,3840,4575,325032
140,2011-05-20,Spring,0,5,0,5,1,1,0.536667,77.4020282,0.529042,0.719583,0.125013,909,4008,4917,329949
141,2011-05-21,Spring,0,5,0,6,0,1,0.6025,82.9715,0.571975,0.626667,0.12065,2258,3547,5805,335754
142,2011-05-22,Spring,0,5,0,0,0,1,0.604167,83.1125282,0.5745,0.749583,0.148008,1576,3084,4660,340414
143,2011-05-23,Spring,0,5,0,1,1,2,0.631667,85.4390282,0.590296,0.81,0.233842,836,3438,4274,344688
144,2011-05-24,Spring,0,5,0,2,1,2,0.66,87.836,0.604813,0.740833,0.207092,659,3833,4492,349180
145,2011-05-25,Spring,0,5,0,3,1,1,0.660833,87.9064718,0.615542,0.69625,0.154233,740,4238,4978,354158
146,2011-05-26,Spring,0,5,0,4,1,1,0.708333,91.9249718,0.654688,0.6775,0.199642,758,3919,4677,358835
147,2011-05-27,Spring,0,5,0,5,1,1,0.681667,89.6690282,0.637008,0.65375,0.240679,871,3808,4679,363514
148,2011-05-28,Spring,0,5,0,6,0,1,0.655833,87.4834718,0.612379,0.729583,0.230092,2001,2757,4758,368272
149,2011-05-29,Spring,0,5,0,0,0,1,0.6675,88.4705,0.61555,0.81875,0.213938,2355,2433,4788,373060
150,2011-05-30,Spring,0,5,1,1,0,1,0.733333,94.0399718,0.671092,0.685,0.131225,1549,2549,4098,377158
151,2011-05-31,Spring,0,5,0,2,1,1,0.775,97.565,0.725383,0.636667,0.111329,673,3309,3982,381140
152,2011-06-01,Spring,0,6,0,3,1,2,0.764167,96.6485282,0.720967,0.677083,0.207092,513,3461,3974,385114
153,2011-06-02,Spring,0,6,0,4,1,1,0.715,92.489,0.643942,0.305,0.292287,736,4232,4968,390082
154,2011-06-03,Spring,0,6,0,5,1,1,0.62,84.452,0.587133,0.354167,0.253121,898,4414,5312,395394
155,2011-06-04,Spring,0,6,0,6,0,1,0.635,85.721,0.594696,0.45625,0.123142,1869,3473,5342,400736
156,2011-06-05,Spring,0,6,0,0,0,2,0.648333,86.8489718,0.616804,0.6525,0.138692,1685,3221,4906,405642
157,2011-06-06,Spring,0,6,0,1,1,1,0.678333,89.3869718,0.621858,0.6,0.121896,673,3875,4548,410190
158,2011-06-07,Spring,0,6,0,2,1,1,0.7075,91.8545,0.65595,0.597917,0.187808,763,4070,4833,415023
159,2011-06-08,Spring,0,6,0,3,1,1,0.775833,97.6354718,0.727279,0.622083,0.136817,676,3725,4401,419424
160,2011-06-09,Spring,0,6,0,4,1,2,0.808333,100.3849718,0.757579,0.568333,0.149883,563,3352,3915,423339
161,2011-06-10,Spring,0,6,0,5,1,1,0.755,95.873,0.703292,0.605,0.140554,815,3771,4586,427925
162,2011-06-11,Spring,0,6,0,6,0,1,0.725,93.335,0.678038,0.654583,0.15485,1729,3237,4966,432891
163,2011-06-12,Spring,0,6,0,0,0,1,0.6925,90.5855,0.643325,0.747917,0.163567,1467,2993,4460,437351
164,2011-06-13,Spring,0,6,0,1,1,1,0.635,85.721,0.601654,0.494583,0.30535,863,4157,5020,442371
165,2011-06-14,Spring,0,6,0,2,1,1,0.604167,83.1125282,0.591546,0.507083,0.269283,727,4164,4891,447262
166,2011-06-15,Spring,0,6,0,3,1,1,0.626667,85.0160282,0.587754,0.471667,0.167912,769,4411,5180,452442
167,2011-06-16,Spring,0,6,0,4,1,2,0.628333,85.1569718,0.595346,0.688333,0.206471,545,3222,3767,456209
168,2011-06-17,Spring,0,6,0,5,1,1,0.649167,86.9195282,0.600383,0.735833,0.143029,863,3981,4844,461053
169,2011-06-18,Spring,0,6,0,6,0,1,0.696667,90.9380282,0.643954,0.670417,0.119408,1807,3312,5119,466172
170,2011-06-19,Spring,0,6,0,0,0,2,0.699167,91.1495282,0.645846,0.666667,0.102,1639,3105,4744,470916
171,2011-06-20,Spring,0,6,0,1,1,2,0.635,85.721,0.595346,0.74625,0.155475,699,3311,4010,474926
172,2011-06-21,Summer,0,6,0,2,1,2,0.680833,89.5984718,0.637646,0.770417,0.171025,774,4061,4835,479761
173,2011-06-22,Summer,0,6,0,3,1,1,0.733333,94.0399718,0.693829,0.7075,0.172262,661,3846,4507,484268
174,2011-06-23,Summer,0,6,0,4,1,2,0.728333,93.6169718,0.693833,0.703333,0.238804,746,4044,4790,489058
175,2011-06-24,Summer,0,6,0,5,1,1,0.724167,93.2645282,0.656583,0.573333,0.222025,969,4022,4991,494049
176,2011-06-25,Summer,0,6,0,6,0,1,0.695,90.797,0.643313,0.483333,0.209571,1782,3420,5202,499251
177,2011-06-26,Summer,0,6,0,0,0,1,0.68,89.528,0.637629,0.513333,0.0945333,1920,3385,5305,504556
178,2011-06-27,Summer,0,6,0,1,1,2,0.6825,89.7395,0.637004,0.658333,0.107588,854,3854,4708,509264
179,2011-06-28,Summer,0,6,0,2,1,1,0.744167,94.9565282,0.692558,0.634167,0.144283,732,3916,4648,513912
180,2011-06-29,Summer,0,6,0,3,1,1,0.728333,93.6169718,0.654688,0.497917,0.261821,848,4377,5225,519137
181,2011-06-30,Summer,0,6,0,4,1,1,0.696667,90.9380282,0.637008,0.434167,0.185312,1027,4488,5515,524652
182,2011-07-01,Summer,0,7,0,5,1,1,0.7225,93.1235,0.652162,0.39625,0.102608,1246,4116,5362,530014
183,2011-07-02,Summer,0,7,0,6,0,1,0.738333,94.4629718,0.667308,0.444583,0.115062,2204,2915,5119,535133
184,2011-07-03,Summer,0,7,0,0,0,2,0.716667,92.6300282,0.668575,0.6825,0.228858,2282,2367,4649,539782
185,2011-07-04,Summer,0,7,1,1,0,2,0.726667,93.4760282,0.665417,0.637917,0.0814792,3065,2978,6043,545825
186,2011-07-05,Summer,0,7,0,2,1,1,0.746667,95.1680282,0.696338,0.590417,0.126258,1031,3634,4665,550490
187,2011-07-06,Summer,0,7,0,3,1,1,0.72,92.912,0.685633,0.743333,0.149883,784,3845,4629,555119
188,2011-07-07,Summer,0,7,0,4,1,1,0.75,95.45,0.686871,0.65125,0.1592,754,3838,4592,559711
189,2011-07-08,Summer,0,7,0,5,1,2,0.709167,91.9955282,0.670483,0.757917,0.225129,692,3348,4040,563751
190,2011-07-09,Summer,0,7,0,6,0,1,0.733333,94.0399718,0.664158,0.609167,0.167912,1988,3348,5336,569087
191,2011-07-10,Summer,0,7,0,0,0,1,0.7475,95.2385,0.690025,0.578333,0.183471,1743,3138,4881,573968
192,2011-07-11,Summer,0,7,0,1,1,1,0.7625,96.5075,0.729804,0.635833,0.282337,723,3363,4086,578054
193,2011-07-12,Summer,0,7,0,2,1,1,0.794167,99.1865282,0.739275,0.559167,0.200254,662,3596,4258,582312
194,2011-07-13,Summer,0,7,0,3,1,1,0.746667,95.1680282,0.689404,0.631667,0.146133,748,3594,4342,586654
195,2011-07-14,Summer,0,7,0,4,1,1,0.680833,89.5984718,0.635104,0.47625,0.240667,888,4196,5084,591738
196,2011-07-15,Summer,0,7,0,5,1,1,0.663333,88.1179718,0.624371,0.59125,0.182833,1318,4220,5538,597276
197,2011-07-16,Summer,0,7,0,6,0,1,0.686667,90.0920282,0.638263,0.585,0.208342,2418,3505,5923,603199
198,2011-07-17,Summer,0,7,0,0,0,1,0.719167,92.8415282,0.669833,0.604167,0.245033,2006,3296,5302,608501
199,2011-07-18,Summer,0,7,0,1,1,1,0.746667,95.1680282,0.703925,0.65125,0.215804,841,3617,4458,612959
200,2011-07-19,Summer,0,7,0,2,1,1,0.776667,97.7060282,0.747479,0.650417,0.1306,752,3789,4541,617500
201,2011-07-20,Summer,0,7,0,3,1,1,0.768333,97.0009718,0.74685,0.707083,0.113817,644,3688,4332,621832
202,2011-07-21,Summer,0,7,0,4,1,2,0.815,100.949,0.826371,0.69125,0.222021,632,3152,3784,625616
203,2011-07-22,Summer,0,7,0,5,1,1,0.848333,103.7689718,0.840896,0.580417,0.1331,562,2825,3387,629003
204,2011-07-23,Summer,0,7,0,6,0,1,0.849167,103.8395282,0.804287,0.5,0.131221,987,2298,3285,632288
205,2011-07-24,Summer,0,7,0,0,0,1,0.83,102.218,0.794829,0.550833,0.169171,1050,2556,3606,635894
206,2011-07-25,Summer,0,7,0,1,1,1,0.743333,94.8859718,0.720958,0.757083,0.0908083,568,3272,3840,639734
207,2011-07-26,Summer,0,7,0,2,1,1,0.771667,97.2830282,0.696979,0.540833,0.200258,750,3840,4590,644324
208,2011-07-27,Summer,0,7,0,3,1,1,0.775,97.565,0.690667,0.402917,0.183463,755,3901,4656,648980
209,2011-07-28,Summer,0,7,0,4,1,1,0.779167,97.9175282,0.7399,0.583333,0.178479,606,3784,4390,653370
210,2011-07-29,Summer,0,7,0,5,1,1,0.838333,102.9229718,0.785967,0.5425,0.174138,670,3176,3846,657216
211,2011-07-30,Summer,0,7,0,6,0,1,0.804167,100.0325282,0.728537,0.465833,0.168537,1559,2916,4475,661691
212,2011-07-31,Summer,0,7,0,0,0,1,0.805833,100.1734718,0.729796,0.480833,0.164813,1524,2778,4302,665993
213,2011-08-01,Summer,0,8,0,1,1,1,0.771667,97.2830282,0.703292,0.550833,0.156717,729,3537,4266,670259
214,2011-08-02,Summer,0,8,0,2,1,1,0.783333,98.2699718,0.707071,0.49125,0.20585,801,4044,4845,675104
215,2011-08-03,Summer,0,8,0,3,1,2,0.731667,93.8990282,0.679937,0.6575,0.135583,467,3107,3574,678678
216,2011-08-04,Summer,0,8,0,4,1,2,0.71,92.066,0.664788,0.7575,0.19715,799,3777,4576,683254
217,2011-08-05,Summer,0,8,0,5,1,1,0.710833,92.1364718,0.656567,0.630833,0.184696,1023,3843,4866,688120
218,2011-08-06,Summer,0,8,0,6,0,2,0.716667,92.6300282,0.676154,0.755,0.22825,1521,2773,4294,692414
219,2011-08-07,Summer,0,8,0,0,0,1,0.7425,94.8155,0.715292,0.752917,0.201487,1298,2487,3785,696199
220,2011-08-08,Summer,0,8,0,1,1,1,0.765,96.719,0.703283,0.592083,0.192175,846,3480,4326,700525
221,2011-08-09,Summer,0,8,0,2,1,1,0.775,97.565,0.724121,0.570417,0.151121,907,3695,4602,705127
222,2011-08-10,Summer,0,8,0,3,1,1,0.766667,96.8600282,0.684983,0.424167,0.200258,884,3896,4780,709907
223,2011-08-11,Summer,0,8,0,4,1,1,0.7175,92.7005,0.651521,0.42375,0.164796,812,3980,4792,714699
224,2011-08-12,Summer,0,8,0,5,1,1,0.708333,91.9249718,0.654042,0.415,0.125621,1051,3854,4905,719604
225,2011-08-13,Summer,0,8,0,6,0,2,0.685833,90.0214718,0.645858,0.729583,0.211454,1504,2646,4150,723754
226,2011-08-14,Summer,0,8,0,0,0,2,0.676667,89.2460282,0.624388,0.8175,0.222633,1338,2482,3820,727574
